#proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
283	1.14.13.22	Cyclohexanone monooxygenase.	Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.	FAD.	\N	Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC
295	5.3.3.-	Transposing C==C bonds.	\N	\N	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC
295	5.3.3.-	Transposing C==C bonds.	\N	\N	\N	Benzoate degradation via hydroxylation	Biodegradation of Xenobiotics	METABOLIC
309	3.1.4.17	3',5'-cyclic-nucleotide phosphodiesterase.	Nucleoside 3',5'-cyclic phosphate + H(2)O = nucleoside 5'-phosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
314	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.	\N	\N	\N	\N	\N
317	1.14.99.29	Deoxyhypusine monooxygenase.	Protein N6-(4-aminobutyl)-L-lysine + AH(2) + O(2) = protein N6-[(R)-4- amino-2-hydroxybutyl]-L-lysine + A + H(2)O.	\N	\N	\N	\N	\N
322	3.1.3.5	5'-nucleotidase.	A 5'-ribonucleotide + H(2)O = a ribonucleoside + phosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
322	3.1.3.5	5'-nucleotidase.	A 5'-ribonucleotide + H(2)O = a ribonucleoside + phosphate.	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
322	3.1.3.5	5'-nucleotidase.	A 5'-ribonucleotide + H(2)O = a ribonucleoside + phosphate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
328	3.4.21.48	Cerevisin.	Hydrolysis of proteins with broad specificity, and of BZ-Arg-OET > Ac-Tyr-OET. Does not hydrolyse peptide amides.	\N	\N	\N	\N	\N
332	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
332	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	  DNA polymerase	REPLICATION AND REPAIR	REGULATORY
332	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
341	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
343	3.4.24.13	IgA-specific metalloendopeptidase.	Acts on hinge region of heavy chains of human IgA immunoglobulin, cleaving exclusively Pro-|-Thr and Pro-|-Ser bonds.	\N	\N	\N	\N	\N
344	2.7.1.35	Pyridoxal kinase.	ATP + pyridoxal = ADP + pyridoxal 5'-phosphate.	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
346	2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate aminotransferase.	S-adenosyl-L-methionine + 8-amino-7-oxononanoate = S-adenosyl-4- methylthio-2-oxobutanoate + 7,8-diaminononanoate.	Pyridoxal-phosphate.	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
347	3.4.23.24	Candidapepsin.	Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16-Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.	\N	\N	\N	\N	\N
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Methane metabolism	Energy Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Alkaloid biosynthesis I	Biosynthesis of Secondary Metabolites	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Sterol biosynthesis	Lipid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	1,4-Dichlorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
353	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom	\N	\N	\N	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
358	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).	\N	\N	\N	\N	\N
364	3.4.21.48	Cerevisin.	Hydrolysis of proteins with broad specificity, and of BZ-Arg-OET > Ac-Tyr-OET. Does not hydrolyse peptide amides.	\N	\N	\N	\N	\N
369	6.1.1.3	Threonine--tRNA ligase.	ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
369	6.1.1.3	Threonine--tRNA ligase.	ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
379	2.1.1.1	Nicotinamide N-methyltransferase.	S-adenosyl-L-methionine + nicotinamide = S-adenosyl-L-homocysteine + 1-methylnicotinamide.	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
381	3.1.-.-	Acting on ester bonds.	\N	\N	\N	\N	\N	\N
388	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
391	1.4.4.2	Glycine dehydrogenase (decarboxylating).	Glycine + lipoylprotein = S-aminomethyldihydrolipoylprotein + CO(2).	Pyridoxal-phosphate.	Nonketotic hyperglycinemia type II; MIM:238310.	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
392	3.1.26.4	Ribonuclease H.	Endonucleolytic cleavage to 5'-phosphomonoester.	\N	\N	\N	\N	\N
393	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	ATP synthesis	Energy Metabolism	METABOLIC
393	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Flagellar assembly	\N	\N
393	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Type III secretion system	SORTING AND DEGRADATION	REGULATORY
398	3.4.24.59	Mitochondrial intermediate peptidase.	Release of an N-terminal octapeptide as second stage of processing of some proteins imported in the mitochondrion.	Zinc.	\N	\N	\N	\N
399	1.14.11.18	Phytanoyl-CoA dioxygenase.	Phytanoyl-CoA + 2-oxoglutarate + O(2) = 2-hydroxyphytanoyl-CoA + succinate + CO(2).	2-oxoglutarate; Fe(II); Ascorbate.	Refsum disease; MIM:266500.	\N	\N	\N
400	6.3.2.17	Folylpolyglutamate synthase.	ATP + {tetrahydrofolyl-[Glu]}(N) + L-glutamate = ADP + phosphate + {tetrahydrofolyl-[Glu]}(N+1).	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
402	2.5.1.21	Farnesyl-diphosphate farnesyltransferase.	2 farnesyl diphosphate = diphosphate + presqualene diphosphate.	\N	\N	Sterol biosynthesis	Lipid Metabolism	METABOLIC
402	2.5.1.21	Farnesyl-diphosphate farnesyltransferase.	2 farnesyl diphosphate = diphosphate + presqualene diphosphate.	\N	\N	Terpenoid biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
408	3.4.21.48	Cerevisin.	Hydrolysis of proteins with broad specificity, and of BZ-Arg-OET > Ac-Tyr-OET. Does not hydrolyse peptide amides.	\N	\N	\N	\N	\N
413	3.5.4.16	GTP cyclohydrolase I.	GTP + 2 H(2)O = formate + 2-amino-4-hydroxy-6-(erythro-1,2,3- trihydroxypropyl)dihydropteridine triphosphate.	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
415	2.3.1.42	Glycerone-phosphate O-acyltransferase.	Acyl-CoA + glycerone phosphate = CoA + acylglycerone phosphate.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
416	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.	\N	Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
423	3.4.24.-	Metalloendopeptidases.	\N	\N	\N	\N	\N	\N
442	3.2.1.58	Glucan 1,3-beta-glucosidase.	Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
453	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).	\N	\N	\N	\N	\N
476	1.3.1.33	Protochlorophyllide reductase.	Chlorophyllide A + NADP(+) = protochlorophyllide + NADPH.	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
478	3.6.4.-	Acting on acid anhydrides; involved in cellular and	\N	\N	\N	\N	\N	\N
482	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	  RNA polymerase	TRANSCRIPTION	REGULATORY
482	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
482	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
490	1.14.11.17	Taurine dioxygenase.	Taurine + 2-oxoglutarate + O(2) = sulfite + aminoacetaldehyde + succinate + CO(2).	Fe(II); Ascorbate.	\N	\N	\N	\N
496	1.2.1.2	Formate dehydrogenase.	Formate + NAD(+) = CO(2) + NADH.	\N	\N	Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
496	1.2.1.2	Formate dehydrogenase.	Formate + NAD(+) = CO(2) + NADH.	\N	\N	Methane metabolism	Energy Metabolism	METABOLIC
500	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
500	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
502	3.1.26.4	Ribonuclease H.	Endonucleolytic cleavage to 5'-phosphomonoester.	\N	\N	\N	\N	\N
503	3.1.26.4	Ribonuclease H.	Endonucleolytic cleavage to 5'-phosphomonoester.	\N	\N	\N	\N	\N
510	3.4.23.41	Yapsin 1.	Hydrolyzes various precursor proteins with Arg or Lys in P1, and commonly Arg or Lys also in P2. The P3 amino acid is usually non- polar, but otherwise additional basic amino acids are favorable in both non-prime and prime positions.	\N	\N	\N	\N	\N
524	3.4.22.-	Cysteine endopeptidases.	\N	\N	\N	\N	\N	\N
525	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
529	6.3.5.4	Asparagine synthase (glutamine-hydrolysing).	ATP + L-aspartate + L-glutamine = AMP + diphosphate + L-asparagine + L-glutamate.	\N	\N	Nitrogen metabolism	Energy Metabolism	METABOLIC
529	6.3.5.4	Asparagine synthase (glutamine-hydrolysing).	ATP + L-aspartate + L-glutamine = AMP + diphosphate + L-asparagine + L-glutamate.	\N	\N	Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
531	3.6.4.-	Acting on acid anhydrides; involved in cellular and	\N	\N	\N	\N	\N	\N
535	3.1.4.12	Sphingomyelin phosphodiesterase.	Sphingomyelin + H(2)O = N-acylsphingosine + choline phosphate.	\N	Niemann-Pick disease, types A and B; MIM:257200.	Sphingophospholipid biosynthesis	Metabolism of Complex Lipids	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	O-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
537	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Chondroitin / heparan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
