Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (ORF)	Proteomes
P34229	reviewed	FAS1_YARLI	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	FAS1 YALI0B15059g	2086	YALI0B15059g	FAS1		UP000001300: Chromosome B
P38855	reviewed	PEX18_YEAST	Peroxisomal membrane protein PEX18 (Peroxin-18)	PEX18 YHR160C	283	YHR160C	PEX18		UP000002311: Chromosome VIII
P46944	reviewed	TRS85_YEAST	Trafficking protein particle complex III-specific subunit 85 (TRAPP III-specific subunit 85) (Muddled meiosis protein 1) (Sporulation protein GSG1) (Transport protein particle 85 kDa subunit)	TRS85 GSG1 MUM1 YDR108W YD9727.04	698	YDR108W	TRS85	YD9727.04	UP000002311: Chromosome IV
P50091	reviewed	PEX21_YEAST	Peroxisomal protein PEX21 (Peroxin-21)	PEX21 YGR239C G8593	288	YGR239C	PEX21	G8593	UP000002311: Chromosome VII
Q6C093	reviewed	UBC2_YARLI	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 YALI0F26697g	151	YALI0F26697g	UBC2		UP000001300: Chromosome F
Q6C1X5	reviewed	ARO1_YARLI	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1 YALI0F12639g	1556	YALI0F12639g	ARO1		UP000001300: Chromosome F
Q6C354	reviewed	PRPD_YARLI	2-methylcitrate dehydratase, mitochondrial (EC 4.2.1.79)	PDH1 YALI0F02497g	520	YALI0F02497g	PDH1		UP000001300: Chromosome F
Q6C4M9	reviewed	HOG1_YARLI	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24)	HOG1 YALI0E25135g	386	YALI0E25135g	HOG1		UP000001300: Chromosome E
Q6C6R8	reviewed	PEX20_YARLI	Peroxisome biogenesis protein 20 (Peroxin-20)	PEX20 YALI0_E06831g	417		PEX20	YALI0_E06831g	UP000001300: Chromosome E
Q6C710	reviewed	ESA1_YARLI	Histone acetyltransferase ESA1 (EC 2.3.1.48) (Protein 2-hydroxyisobutyryltransferase ESA1) (EC 2.3.1.-) (Protein acetyltransferase ESA1) (EC 2.3.1.-) (Protein crotonyltransferase ESA1) (EC 2.3.1.-)	ESA1 YALI0E04675g	469	YALI0E04675g	ESA1		UP000001300: Chromosome E
Q6C793	reviewed	PRPC_YARLI	2-methylcitrate synthase, mitochondrial (Methylcitrate synthase) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase 2) (EC 2.3.3.16)	YALI0E02684g	465	YALI0E02684g			UP000001300: Chromosome E
Q6C7C0	reviewed	MYO1_YARLI	Myosin-1 (Class I unconventional myosin) (Type I myosin)	MYO1 YALI0E02046g	1228	YALI0E02046g	MYO1		UP000001300: Chromosome E
Q6C7R4	unreviewed	Q6C7R4_YARLI	Serine/threonine-protein kinase (EC 2.7.11.21)	YALI0_D26015g	700			YALI0_D26015g	UP000001300: Chromosome D
Q6C7U8	reviewed	PHO85_YARLI	Negative regulator of the PHO system (EC 2.7.11.22) (Serine/threonine-protein kinase PHO85)	PHO85 YALI0D25190g	294	YALI0D25190g	PHO85		UP000001300: Chromosome D
Q6CCB0	reviewed	SSN3_YARLI	Serine/threonine-protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8)	SSN3 CDK8 YALI0C10967g	405	YALI0C10967g	SSN3		UP000001300: Chromosome C
Q6CF29	unreviewed	Q6CF29_YARLI	Cyclin-dependent kinase 1 (EC 2.7.11.22) (Cell division control protein 28)	YALI0_B10758g	316			YALI0_B10758g	UP000001300: Chromosome B
Q6CFS5	reviewed	CBK1_YARLI	Serine/threonine-protein kinase CBK1 (EC 2.7.11.1)	CBK1 YALI0B04268g	588	YALI0B04268g	CBK1		UP000001300: Chromosome B
Q6CFT7	reviewed	ATPB_YARLI	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	ATP2 YALI0_B03982g	509	YALI0_B03982g	ATP2		UP000001300: Chromosome B
Q6CHJ9	unreviewed	Q6CHJ9_YARLI	Serine/threonine-protein phosphatase (EC 3.1.3.16)	YALI0_A08077g	327			YALI0_A08077g	UP000001300: Chromosome A
Q91V92	reviewed	ACLY_MOUSE	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	Acly	1091		Acly		UP000000589: Chromosome 11
Q99170	reviewed	BIP_YARLI	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog) (BiP)	KAR2 YALI0E13706g	670	YALI0E13706g	KAR2		UP000001300: Chromosome E
Q9Y751	reviewed	ATG26_KOMPG	Sterol 3-beta-glucosyltransferase (EC 2.4.1.-) (EC 2.4.1.173) (Autophagy-related protein 26) (Peroxisome degradation protein 3) (Pexophagy zeocin-resistant mutant protein 4) (UDP-glycosyltransferase 51)	ATG26 PAZ4 PDG3 UGT51 UGT51B1 PAS_chr4_0167	1211	PAS_chr4_0167	ATG26		UP000000314: Chromosome 4
A0A1D8N3C7	unreviewed	A0A1D8N3C7_YARLL	DNA replication licensing factor MCM5 (EC 3.6.4.12)	B0I71DRAFT_136552 YALI1_A01766g	744			B0I71DRAFT_136552 YALI1_A01766g	UP000182444: Chromosome 1a; UP000256601: Unassembled WGS sequence
A0A1D8N6D9	unreviewed	A0A1D8N6D9_YARLL	Serine/threonine-protein kinase CBK1 (EC 2.7.11.1)	B0I71DRAFT_158009 YALI1_B05711g	588			B0I71DRAFT_158009 YALI1_B05711g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1D8N7N5	unreviewed	A0A1D8N7N5_YARLL	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 YALI1_B17050g	1113		PIF1	YALI1_B17050g	UP000182444: Chromosome 1b
A0A1D8N7V8	unreviewed	A0A1D8N7V8_YARLL	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	YALI1_B19844g	2086			YALI1_B19844g	UP000182444: Chromosome 1b
A0A1D8N7W6	unreviewed	A0A1D8N7W6_YARLL	Double-strand break repair protein	B0I71DRAFT_135348 YALI1_B19120g	701			B0I71DRAFT_135348 YALI1_B19120g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1D8N831	unreviewed	A0A1D8N831_YARLL	DNA replication licensing factor MCM6 (EC 3.6.4.12)	B0I71DRAFT_127470 YALI1_B21562g	921			B0I71DRAFT_127470 YALI1_B21562g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1D8N8E4	unreviewed	A0A1D8N8E4_YARLL	DNA replication licensing factor MCM7 (EC 3.6.4.12)	MCM7 B0I71DRAFT_133804 YALI1_B24335g	786		MCM7	B0I71DRAFT_133804 YALI1_B24335g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1D8N8Y2	unreviewed	A0A1D8N8Y2_YARLL	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	BNA5 YALI1_B29867g	437		BNA5	YALI1_B29867g	UP000182444: Chromosome 1b
A0A1D8N8Y6	unreviewed	A0A1D8N8Y6_YARLL	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HAM1 YALI1_B29883g	188		HAM1	YALI1_B29883g	UP000182444: Chromosome 1b
A0A1D8NAC2	unreviewed	A0A1D8NAC2_YARLL	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)	TAH18 YALI1_C13106g	688		TAH18	YALI1_C13106g	UP000182444: Chromosome 1c
A0A1D8NCD3	unreviewed	A0A1D8NCD3_YARLL	5'-3' exoribonuclease 1 (EC 3.1.13.-)	B0I71DRAFT_133755 YALI1_C31971g	1526			B0I71DRAFT_133755 YALI1_C31971g	UP000182444: Chromosome 1c; UP000256601: Unassembled WGS sequence
A0A1D8NET7	unreviewed	A0A1D8NET7_YARLL	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	YALI1_D20222g	953			YALI1_D20222g	UP000182444: Chromosome 1d
A0A1D8NG10	unreviewed	A0A1D8NG10_YARLL	DNA topoisomerase 2 (EC 5.6.2.2)	YALI1_D31186g	1537			YALI1_D31186g	UP000182444: Chromosome 1d
A0A1D8NG62	unreviewed	A0A1D8NG62_YARLL	Negative regulator of the PHO system (EC 2.7.11.22) (Serine/threonine-protein kinase PHO85)	YALI1_D33418g	294			YALI1_D33418g	UP000182444: Chromosome 1d
A0A1D8NHR9	unreviewed	A0A1D8NHR9_YARLL	Pyrimidine-specific carbamoyl phosphate synthase-aspartate carbamoyl transferase (EC 2.1.3.2) (EC 3.5.1.2) (EC 6.3.4.16) (EC 6.3.5.5)	YALI1_E11768g	2186			YALI1_E11768g	UP000182444: Chromosome 1e
A0A1D8NJZ9	unreviewed	A0A1D8NJZ9_YARLL	Mitogen-activated protein kinase (EC 2.7.11.24)	B0I71DRAFT_132341 YALI1_E30073g	386			B0I71DRAFT_132341 YALI1_E30073g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NLF3	unreviewed	A0A1D8NLF3_YARLL	Phospholipid-transporting ATPase (EC 7.6.2.1)	B0I71DRAFT_132711 YALI1_F01838g	1021			B0I71DRAFT_132711 YALI1_F01838g	UP000182444: Chromosome 1f; UP000256601: Unassembled WGS sequence
A0A1D8NM13	unreviewed	A0A1D8NM13_YARLL	DNA replication licensing factor MCM2 (EC 3.6.4.12) (DNA replication licensing factor mcm2)	B0I71DRAFT_129344 YALI1_F07181g	796			B0I71DRAFT_129344 YALI1_F07181g	UP000182444: Chromosome 1f; UP000256601: Unassembled WGS sequence
A0A1D8NMK7	unreviewed	A0A1D8NMK7_YARLL	Autophagy-related protein 9	YALI1_F11729g	788			YALI1_F11729g	UP000182444: Chromosome 1f
A0A1D8NQ29	unreviewed	A0A1D8NQ29_YARLL	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 YALI1_F33618g	1177		PIM1	YALI1_F33618g	UP000182444: Chromosome 1f
A0A1H6PHE0	unreviewed	A0A1H6PHE0_YARLL	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	B0I71DRAFT_133803 YALI1_B24292g	342			B0I71DRAFT_133803 YALI1_B24292g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1H6PIK1	unreviewed	A0A1H6PIK1_YARLL	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	MET3 B0I71DRAFT_134104 YALI1_B10813g	572		MET3	B0I71DRAFT_134104 YALI1_B10813g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1H6PIV3	unreviewed	A0A1H6PIV3_YARLL	sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	B0I71DRAFT_130118 YALI1_B07094g	523			B0I71DRAFT_130118 YALI1_B07094g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1H6PMB9	unreviewed	A0A1H6PMB9_YARLL	DNA replication licensing factor MCM4 (EC 3.6.4.12)	B0I71DRAFT_129362 YALI1_F07429g	924			B0I71DRAFT_129362 YALI1_F07429g	UP000182444: Chromosome 1f; UP000256601: Unassembled WGS sequence
A0A1H6PUP2	unreviewed	A0A1H6PUP2_YARLL	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	B0I71DRAFT_131249 YALI1_D26360g	499			B0I71DRAFT_131249 YALI1_D26360g	UP000182444: Chromosome 1d; UP000256601: Unassembled WGS sequence
A0A1H6PY23	unreviewed	A0A1H6PY23_YARLL	Histone acetyltransferase ESA1 (EC 2.3.1.48) (Histone acetyltransferase esa1) (protein 2-hydroxyisobutyryltransferase ESA1) (protein acetyltransferase ESA1) (protein crotonyltransferase ESA1)	B0I71DRAFT_133249 YALI1_E05645g	469			B0I71DRAFT_133249 YALI1_E05645g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1H6Q5Y9	unreviewed	A0A1H6Q5Y9_YARLL	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	PSD2 B0I71DRAFT_134580 YALI1_D04432g	1190		PSD2	B0I71DRAFT_134580 YALI1_D04432g	UP000182444: Chromosome 1d; UP000256601: Unassembled WGS sequence
A0A1H6Q8E2	unreviewed	A0A1H6Q8E2_YARLL	Serine/threonine-protein phosphatase (EC 3.1.3.16)	B0I71DRAFT_131104 YALI1_A07649g	327			B0I71DRAFT_131104 YALI1_A07649g	UP000182444: Chromosome 1a; UP000256601: Unassembled WGS sequence
A0A371BYQ8	unreviewed	A0A371BYQ8_YARLL	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	B0I71DRAFT_136291	953			B0I71DRAFT_136291	UP000256601: Unassembled WGS sequence
A0A371C206	unreviewed	A0A371C206_YARLL	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HAM1 B0I71DRAFT_134455	188		HAM1	B0I71DRAFT_134455	UP000256601: Unassembled WGS sequence
A0A371C2I9	unreviewed	A0A371C2I9_YARLL	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	BNA5 B0I71DRAFT_134457	437		BNA5	B0I71DRAFT_134457	UP000256601: Unassembled WGS sequence
A0A371C5F1	unreviewed	A0A371C5F1_YARLL	dynamin GTPase (EC 3.6.5.5)	B0I71DRAFT_41242	769			B0I71DRAFT_41242	UP000256601: Unassembled WGS sequence
A0A371C9H8	unreviewed	A0A371C9H8_YARLL	Uncharacterized protein	B0I71DRAFT_145881	2086			B0I71DRAFT_145881	UP000256601: Unassembled WGS sequence
A0A371CAA2	unreviewed	A0A371CAA2_YARLL	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)	TAH18 B0I71DRAFT_129402	688		TAH18	B0I71DRAFT_129402	UP000256601: Unassembled WGS sequence
A0A371CDZ1	unreviewed	A0A371CDZ1_YARLL	DNA replication licensing factor MCM3 (EC 3.6.4.12)	B0I71DRAFT_127635	806			B0I71DRAFT_127635	UP000256601: Unassembled WGS sequence
A0A371CEC6	unreviewed	A0A371CEC6_YARLL	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	B0I71DRAFT_138299	2086			B0I71DRAFT_138299	UP000256601: Unassembled WGS sequence
B5FVG3	reviewed	ATPJ_YARLI	ATP synthase subunit e, mitochondrial (ATPase subunit e) (Translocase of the inner membrane protein 11)	TIM11 ATP21 YALI0_E32164g	90	YALI0_E32164g	TIM11		UP000001300: Chromosome E
F2Z699	reviewed	NDH2_YARLI	External alternative NADH-ubiquinone oxidoreductase, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase) (NADH:ubiquinone reductase (non-electrogenic))	NDH2 YALI0F25135g	582	YALI0F25135g	NDH2		UP000001300: Chromosome F
G3Y4N5	reviewed	CEX1_ASPNA	Citrate exporter 1	cex1 cexA ASPNIDRAFT2_1165828 ASPNIDRAFT_57285	524		cex1	ASPNIDRAFT2_1165828 ASPNIDRAFT_57285	UP000009038: Unassembled WGS sequence
O43108	reviewed	ATC1_YARLI	Calcium-transporting ATPase 1 (EC 7.2.2.10) (P-type calcium ATPase)	PMR1 SCA1 YALI0E09471g	928	YALI0E09471g	PMR1		UP000001300: Chromosome E
O74932	reviewed	TPS1_YARLI	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	TPS1 YITPS1 YALI0E14685g	469	YALI0E14685g	TPS1		UP000001300: Chromosome E
O74935	reviewed	ACOX2_YARLI	Acyl-coenzyme A oxidase 2 (Acyl-CoA oxidase 2) (EC 1.3.3.6)	POX2 ACO2 YALI0F10857g	700	YALI0F10857g	POX2		UP000001300: Chromosome F
O74936	reviewed	ACOX3_YARLI	Acyl-coenzyme A oxidase 3 (Acyl-CoA oxidase 3) (EC 1.3.3.6)	POX3 ACO3 YALI0D24750g	700	YALI0D24750g	POX3		UP000001300: Chromosome D
P18120	reviewed	LEU3_YARLI	3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase)	LEU2 YALI0C00407g	405	YALI0C00407g	LEU2		UP000001300: Chromosome C
P32907	reviewed	ATO2_YEAST	Ammonia transport outward protein 2	ATO2 FUN34 YNR002C N2029	282	YNR002C	ATO2	N2029	UP000002311: Chromosome XIV
P41555	reviewed	ACEA_YARLI	Isocitrate lyase (ICL) (Isocitrase) (Isocitratase) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)	ICL1 YALI0C16885g	540	YALI0C16885g	ICL1		UP000001300: Chromosome C
P59680	reviewed	PFKA_YARLI	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	PFK1 YALI0D16357g	953	YALI0D16357g	PFK1		UP000001300: Chromosome D
P79085	reviewed	ALTA1_ALTAL	Major allergen Alt a 1 (allergen Alt a 1)	ALTA1	157		ALTA1		
P80547	reviewed	SCP2_YARLI	Fatty acid-binding protein (Sterol carrier protein 2) (YLSCP2)	SCP2 YALI0E01298g	129	YALI0E01298g	SCP2		UP000001300: Chromosome E
Q05493	reviewed	THIK_YARLI	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	POT1 YALI0E18568g	414	YALI0E18568g	POT1		UP000001300: Chromosome E
Q36257	reviewed	ATP8_YARLI	ATP synthase protein 8 (A6L) (F-ATPase subunit 8)	ATP8	48		ATP8		UP000001300: Mitochondrion
Q36258	reviewed	ATP6_YARLI	ATP synthase subunit a (F-ATPase protein 6)	ATP6	255		ATP6		UP000001300: Mitochondrion
Q37695	reviewed	ATP9_YARLI	ATP synthase subunit 9, mitochondrial (ATP synthase subunit c) (Lipid-binding protein)	OLI1 ATP9	76		OLI1		UP000001300: Mitochondrion
Q6BZP5	reviewed	ACEB_YARLI	2-methylisocitrate lyase, mitochondrial (EC 4.1.3.30)	YALI0F31999g	565	YALI0F31999g			UP000001300: Chromosome F
Q6C079	unreviewed	Q6C079_YARLI	Serine/threonine-protein kinase RAD53 (EC 2.7.12.1)	YALI0_F27093g	898			YALI0_F27093g	UP000001300: Chromosome F
Q6C0B5	reviewed	LONM_YARLI	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 YALI0F26169g	1177	YALI0F26169g	PIM1		UP000001300: Chromosome F
Q6C0T3	unreviewed	Q6C0T3_YARLI	DNA replication licensing factor MCM3 (EC 3.6.4.12)	YALI0_F21945g	806			YALI0_F21945g	UP000001300: Chromosome F
Q6C0Z6	reviewed	CCPR_YARLI	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 YALI0F20504g	340	YALI0F20504g	CCP1		UP000001300: Chromosome F
Q6C105	reviewed	ATPF_YARLI	ATP synthase subunit 4, mitochondrial (ATP synthase subunit b)	ATP4 YALI0_F20306g	217	YALI0_F20306g	ATP4		UP000001300: Chromosome F
Q6C116	reviewed	FEN1_YARLI	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	FEN1 YALI0F20042g	389	YALI0F20042g	FEN1		UP000001300: Chromosome F
Q6C195	reviewed	SSU72_YARLI	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16) (Suppressor of SUA7 protein 2 homolog)	SSU72 YALI0F18194g	193	YALI0F18194g	SSU72		UP000001300: Chromosome F
Q6C1G8	unreviewed	Q6C1G8_YARLI	dynamin GTPase (EC 3.6.5.5)	YALI0_F16379g	769			YALI0_F16379g	UP000001300: Chromosome F
Q6C1K4	unreviewed	Q6C1K4_YARLI	DNA repair protein RAD51 homolog	YALI0_F15477g	329			YALI0_F15477g	UP000001300: Chromosome F
Q6C292	unreviewed	Q6C292_YARLI	protein kinase C (EC 2.7.11.13)	YALI0_F09746g	1252			YALI0_F09746g	UP000001300: Chromosome F
Q6C2A3	reviewed	BUD32_YARLI	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1)	BUD32 YALI0F09471g	248	YALI0F09471g	BUD32		UP000001300: Chromosome F
Q6C2F5	reviewed	ATG9_YARLI	Autophagy-related protein 9	ATG9 YALI0F08349g	788	YALI0F08349g	ATG9		UP000001300: Chromosome F
Q6C2N4	unreviewed	Q6C2N4_YARLI	Condensin complex subunit 1	YALI0_F06402g	1096			YALI0_F06402g	UP000001300: Chromosome F
Q6C2N7	reviewed	ATG15_YARLI	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15)	ATG15 YALI0F06358g	549	YALI0F06358g	ATG15		UP000001300: Chromosome F
Q6C2V4	unreviewed	Q6C2V4_YARLI	DNA replication licensing factor MCM4 (EC 3.6.4.12)	YALI0_F04818g	924			YALI0_F04818g	UP000001300: Chromosome F
Q6C2V6	reviewed	ATP14_YARLI	ATP synthase subunit H, mitochondrial	ATP14 YALI0_F04774g	108	YALI0_F04774g	ATP14		UP000001300: Chromosome F
Q6C2W1	unreviewed	Q6C2W1_YARLI	DNA replication licensing factor MCM2 (EC 3.6.4.12) (DNA replication licensing factor mcm2)	YALI0_F04664g	796			YALI0_F04664g	UP000001300: Chromosome F
Q6C2X0	reviewed	KAPR_YARLI	cAMP-dependent protein kinase regulatory subunit (PKA regulatory subunit)	PKAR YALI0F04422g	375	YALI0F04422g	PKAR		UP000001300: Chromosome F
