YALI0 locus ID,YALI1 Proteins
,YALI1_A02113p
YALI0A01782g,YALI1_A02131p
YALI0A01804r,YALI1_A02138r
YALI0A01826g,YALI1_A02150p
YALI0A01848g,YALI1_A02190p
YALI0A01870g,YALI1_A02198p
YALI0A01892g,YALI1_A02263p
,YALI1_A02301p
YALI0A01914r,YALI1_A02318r
YALI0A01958g,YALI1_A02335p
YALI0A01980g,YALI1_A02365p
YALI0A02002g,YALI1_A02394p
YALI0A02024g,YALI1_A02426p
YALI0A02046g,YALI1_A02443p
YALI0A02068g,YALI1_A02461p
YALI0A02090g,YALI1_A02470p
YALI0A02112g,YALI1_A02499p
YALI0A02134g,YALI1_A02546p
YALI0A02156g,YALI1_A02552p
YALI0A02178g,YALI1_A02561p
YALI0A02200g,YALI1_A02568p
YALI0A02222g,YALI1_A02615p
YALI0A02244g,YALI1_A02653p
YALI0A02266g,YALI1_A02682p
YALI0A02288g,YALI1_A02728p
YALI0A02310g,YALI1_A02775p
YALI0A02332g,YALI1_A02813p
,YALI1_A02819p
YALI0A02354g,YALI1_A02833p
,YALI1_A02875p
YALI0A02409g,YALI1_A02895p
YALI0A02416g,YALI1_A02909p
YALI0A02423g,YALI1_A02919p
YALI0A02431g,YALI1_A02947p
YALI0A02453g,YALI1_A02974p
,YALI1_A02977p
YALI0A02475g,YALI1_A02998p
,YALI1_A03017p
YALI0A02497g,YALI1_A03029p
YALI0A02541g,YALI1_A03069p
YALI0A02563g,YALI1_A03081p
YALI0A02585g,YALI1_A03091p
YALI0A02607g,YALI1_A03116p
YALI0A02629g,YALI1_A03137p
YALI0A02651g,YALI1_A03153p
YALI0A02673g,YALI1_A03170p
YALI0A02695g,YALI1_A03183p
YALI0A02717g,YALI1_A03210p
YALI0A02739r,YALI1_A03242r
YALI0A02783g,YALI1_A03258p
YALI0A02849g,YALI1_A03278p
YALI0A02871g,YALI1_A03289p
YALI0A02893g,YALI1_A03300p
YALI0A02915g,YALI1_A03322p
YALI0A02937g,YALI1_A03351p
YALI0A02959g,YALI1_A03356p
YALI0A02981g,YALI1_A03396p
YALI0A03003g,YALI1_A03402p
YALI0A03025g,YALI1_A03422p
YALI0A03047r,YALI1_A03437r
YALI0A03069g,YALI1_A03442p
YALI0A03091g,YALI1_A03450p
YALI0A03113g,YALI1_A03487p
,YALI1_A03507p
YALI0A03135g,YALI1_A03512p
YALI0A03157r,YALI1_A03529r
YALI0A03179g,YALI1_A03549p
YALI0A03201g,YALI1_A03567p
YALI0A03223g,YALI1_A03579p
,YALI1_A03599p
YALI0A03245g,YALI1_A03624p
YALI0A03267r,YALI1_A03627r
YALI0A03311r,YALI1_A03632r
YALI0A03355r,YALI1_A03643r
YALI0A03399g,YALI1_A03669p
YALI0A03421g,YALI1_A03688p
YALI0A03443g,YALI1_A03721p
YALI0A03465r,YALI1_A03732r
YALI0A03509g,YALI1_A03757p
YALI0A03531g,YALI1_A03763p
YALI0A03553g,YALI1_A03803p
YALI0A03575g,YALI1_A03809p
,YALI1_A03815p
YALI0A03597g,YALI1_A03837p
,YALI1_A03842p
YALI0A03641g,YALI1_A03857p
YALI0A03663g,YALI1_A03883p
,YALI1_A03900p
YALI0A03685g,YALI1_A03907p
YALI0A03707r,YALI1_A03933r
YALI0A03751g,YALI1_A03937p
YALI0A03773g,YALI1_A03964p
YALI0A03817g,YALI1_A04006p
YALI0A03839g,YALI1_A04022p
,YALI1_A04044p
,YALI1_A04048p
YALI0A03861g,YALI1_A04071p
YALI0A03883g,YALI1_A04109p
YALI0A03905g,YALI1_A04119p
YALI0A03916r,YALI1_A04155r
,YALI1_A04164p
YALI0A03927g,YALI1_A04178p
YALI0A03949g,YALI1_A04261p
YALI0A03971g,YALI1_A04309p
YALI0A03993g,YALI1_A04332p
YALI0A04015r,YALI1_A04338r
YALI0A04059g,YALI1_A04341p
YALI0A04081r,YALI1_A04359r
YALI0A04125g,YALI1_A04385p
YALI0A04147r,YALI1_A04398r
YALI0A04191g,YALI1_A04415p
YALI0A04202r,YALI1_A04438r
YALI0A04213r,YALI1_A04439r
YALI0A04235r,YALI1_A04446r
YALI0A04279g,YALI1_A04462p
YALI0A04301g,YALI1_A04495p
YALI0A04323g,YALI1_A04533p
YALI0A04345g,YALI1_A04561p
YALI0A04367g,YALI1_A04576p
YALI0A04389r,YALI1_A04602r
YALI0A04433r,YALI1_A04611r
YALI0A04455g,YALI1_A04620p
YALI0A04477r,YALI1_A04645r
,YALI1_A04653p
YALI0A04499g,YALI1_A04661p
YALI0A04521g,YALI1_A04676p
YALI0A04543r,YALI1_A04699r
YALI0A04565r,YALI1_A04709r
YALI0A04576r,YALI1_A04710r
YALI0A04587g,YALI1_A04715p
YALI0A04609g,YALI1_A04742p
YALI0A04631g,YALI1_A04781p
YALI0A04631g,YALI1_A04795p
YALI0A04653g,YALI1_A04815p
YALI0A04675g,YALI1_A04817p
YALI0A04697g,YALI1_A04848p
,YALI1_A04859p
,YALI1_A04864p
YALI0A04719g,YALI1_A04884p
YALI0A04741g,YALI1_A04893p
YALI0A04763r,YALI1_A04916r
YALI0A04785g,YALI1_A04927p
YALI0A04807g,YALI1_A04939p
YALI0A04829r,YALI1_A04958r
YALI0A04873g,YALI1_A04976p
,YALI1_A04983p
,YALI1_A04990p
YALI0A04895g,YALI1_A05003p
YALI0A04917g,YALI1_A05031p
YALI0A04939g,YALI1_A05052p
YALI0A04961g,YALI1_A05091p
YALI0A04983g,YALI1_A05116p
YALI0A05005g,YALI1_A05143p
YALI0A05027g,YALI1_A05168p
YALI0A05049r,YALI1_A05186r
YALI0A05093r,YALI1_A05189r
YALI0A05115g,YALI1_A05210p
YALI0A05137g,YALI1_A05220p
YALI0A05159g,YALI1_A05229p
YALI0A05181g,YALI1_A05254p
YALI0A05203g,YALI1_A05259p
YALI0A05225g,YALI1_A05284p
YALI0A05247g,YALI1_A05335p
YALI0A05269t,YALI1_A05348t
YALI0A05291g,YALI1_A05355p
YALI0A05313g,YALI1_A05366p
YALI0A05357g,YALI1_A05407p
YALI0A05379g,YALI1_A05459p
YALI0A05401g,YALI1_A05473p
YALI0A05423g,YALI1_A05491p
YALI0A05445r,YALI1_A05500r
YALI0A05489r,YALI1_A05505r
YALI0A05533g,YALI1_A05527p
YALI0A05555g,YALI1_A05571p
,YALI1_A05578p
,YALI1_A05583p
,YALI1_A05592p
YALI0A05577g,YALI1_A05605p
YALI0A05599r,YALI1_A05637r
YALI0A05621r,YALI1_A05639r
YALI0A05665g,YALI1_A05662p
YALI0A05687r,YALI1_A05684r
YALI0A05731r,YALI1_A05694r
YALI0A05775g,YALI1_A05701p
YALI0A05797g,YALI1_A05709p
YALI0A05819r,YALI1_A05718r
YALI0A05863r,YALI1_A05723r
YALI0A05885g,YALI1_A05737p
,YALI1_A05740p
YALI0A05907r,YALI1_A05745r
YALI0A05929g,YALI1_A05774p
YALI0A05951g,YALI1_A05795p
,YALI1_A05798p
YALI0A05973g,YALI1_A05813p
YALI0A05995g,YALI1_A05821p
,YALI1_A05836p
YALI0A06017g,YALI1_A05844p
,YALI1_A05869p
YALI0A06061g,YALI1_A05884p
,YALI1_A05904p
YALI0A06105g,YALI1_A05927p
YALI0A06127r,YALI1_A05933r
YALI0A06171g,YALI1_A05947p
YALI0A06193r,YALI1_A05953r
YALI0A06215g,YALI1_A05987p
YALI0A06226r,YALI1_A06019r
YALI0A06237r,YALI1_A06020r
YALI0A06259r,YALI1_A06024r
YALI0A06303r,YALI1_A06032r
YALI0A06347g,YALI1_A06052p
YALI0A06369g,YALI1_A06073p
YALI0A06391r,YALI1_A06081r
YALI0A06435g,YALI1_A06099p
,YALI1_A06102p
,YALI1_A06104p
YALI0A06457g,YALI1_A06116p
YALI0A06479g,YALI1_A06128p
YALI0A06501g,YALI1_A06149p
YALI0A06523g,YALI1_A06169p
,YALI1_A06174p
YALI0A06545r,YALI1_A06190r
,YALI1_A06196p
,YALI1_A06207p
,YALI1_A06220p
YALI0A06589g,YALI1_A06229p
YALI0A06611g,YALI1_A06287p
YALI0A06633g,YALI1_A06311p
YALI0A06644r,YALI1_A06327r
YALI0A06655g,YALI1_A06361p
YALI0A06677g,YALI1_A06381p
,YALI1_A06384p
YALI0A06699g,YALI1_A06396p
YALI0A06721g,YALI1_A06402p
YALI0A06743g,YALI1_A06416p
YALI0A06754r,YALI1_A06423r
YALI0A06765g,YALI1_A06434p
YALI0A06787g,YALI1_A06453p
YALI0A06809g,YALI1_A06473p
YALI0A06831g,YALI1_A06488p
,YALI1_A06530p
YALI0A06886g,YALI1_A06591p
YALI0A06908g,YALI1_A06594p
YALI0A06930g,YALI1_A06612p
,YALI1_A06615p
YALI0A06952g,YALI1_A06625p
,YALI1_A06634p
YALI0A06974g,YALI1_A06640p
YALI0A06996g,YALI1_A06666p
YALI0A07018g,YALI1_A06672p
YALI0A07040r,YALI1_A06710r
YALI0A07062g,YALI1_A06721p
,YALI1_A06735p
YALI0A07084g,YALI1_A06743p
,YALI1_A06751p
,YALI1_A06761p
YALI0A07106g,YALI1_A06778p
,YALI1_A06815p
,YALI1_A06818p
YALI0A07128g,YALI1_A06823p
YALI0A07142g,YALI1_A06873p
YALI0A07150r,YALI1_A06883r
YALI0A07194r,YALI1_A06888r
YALI0A07260r,YALI1_A06928r
YALI0A07271r,YALI1_A06929r
YALI0A07293r,YALI1_A06936r
YALI0A07315r,YALI1_A06939r
YALI0A07359r,YALI1_A06957r
YALI0A07403g,YALI1_A06958p
YALI0A07425g,YALI1_A06989p
YALI0A07447g,YALI1_A07014p
YALI0A07469r,YALI1_A07038r
YALI0A07513r,YALI1_A07044r
YALI0A07557g,YALI1_A07051p
YALI0A07579g,YALI1_A07103p
YALI0A07601g,YALI1_A07137p
,YALI1_A07161p
,YALI1_A07171p
YALI0A07623g,YALI1_A07201p
,YALI1_A07226p
YALI0A07645g,YALI1_A07229p
YALI0A07667g,YALI1_A07241p
YALI0A07689g,YALI1_A07267p
YALI0A07711g,YALI1_A07277p
YALI0A07733g,YALI1_A07290p
YALI0A07755g,YALI1_A07309p
YALI0A07777g,YALI1_A07318p
YALI0A07799g,YALI1_A07326p
YALI0A07821g,YALI1_A07349p
,YALI1_A07357p
,YALI1_A07372p
,YALI1_A07376p
YALI0A07843g,YALI1_A07381p
YALI0A07865g,YALI1_A07405p
YALI0A07887g,YALI1_A07418p
YALI0A07909r,YALI1_A07421r
YALI0A07953r,YALI1_A07425r
YALI0A07997g,YALI1_A07472p
YALI0A08019g,YALI1_A07538p
,YALI1_A07557p
YALI0A08041g,YALI1_A07575p
,YALI1_A07608p
YALI0A08063g,YALI1_A07624p
,YALI1_A07632p
,YALI1_A07635p
YALI0A08077g,YALI1_A07649p
YALI0A08107g,YALI1_A07668p
,YALI1_A07681p
YALI0A08129g,YALI1_A07712p
YALI0A08151g,YALI1_A07730p
,YALI1_A07766p
YALI0A08165g,YALI1_A07768p
YALI0A08195g,YALI1_A07829p
YALI0A08206r,YALI1_A07842r
YALI0A08217g,YALI1_A07887p
YALI0A08239g,YALI1_A07937p
YALI0A08261g,YALI1_A07977p
YALI0A08283r,YALI1_A08027r
YALI0A08327g,YALI1_A08047p
YALI0A08338g,YALI1_A08049p
,YALI1_A08065p
YALI0A08360g,YALI1_A08073p
,YALI1_A08107p
,YALI1_A08115p
YALI0A08404g,YALI1_A08126p
YALI0A08426g,YALI1_A08175p
,YALI1_A08197p
YALI0A08448g,YALI1_A08206p
,YALI1_A08299p
YALI0A07249g,YALI1_A08341t
,YALI1_A08362t
,YALI1_A08424p
YALI0A08492r,YALI1_A08434r
YALI0A08536g,YALI1_A08436p
YALI0A08558g,YALI1_A08467p
YALI0A08580g,YALI1_A08468p
YALI0A08602r,YALI1_A08483r
YALI0A08624g,YALI1_A08486p
YALI0A08646g,YALI1_A08502p
YALI0A08668g,YALI1_A08512p
,YALI1_A08532p
YALI0A08690r,YALI1_A08542r
YALI0A08734g,YALI1_A08546p
,YALI1_A08573r
YALI0A08756r,YALI1_A08574r
YALI0A08800g,YALI1_A08614p
YALI0A08822r,YALI1_A08620r
YALI0A08866g,YALI1_A08623p
YALI0A08888g,YALI1_A08653p
,YALI1_A08661r
YALI0A08976r,YALI1_A08662r
YALI0A08998g,YALI1_A08672p
YALI0A09020g,YALI1_A08729p
,YALI1_A08759p
YALI0A09042g,YALI1_A08781p
YALI0A09064g,YALI1_A08787p
,YALI1_A08821p
YALI0A09086g,YALI1_A08828p
,YALI1_A08835p
YALI0A09108g,YALI1_A08856p
YALI0A09130r,YALI1_A08873r
,YALI1_A08875p
YALI0A09152r,YALI1_A08890r
YALI0A09196g,YALI1_A08901p
,YALI1_A08931p
,YALI1_A08934p
,YALI1_A08941p
YALI0A09218r,YALI1_A08951r
YALI0A09262g,YALI1_A08981p
YALI0A09284g,YALI1_A09010p
,YALI1_A09021p
YALI0A09383g,YALI1_A09064p
YALI0A09405g,YALI1_A09100p
YALI0A09427g,YALI1_A09121p
YALI0A09438g,YALI1_A09139p
YALI0A09443g,YALI1_A09149p
,YALI1_A09165p
YALI0A09449g,YALI1_A09166p
YALI0A09471g,YALI1_A09190p
YALI0A09515g,YALI1_A09201p
YALI0A09537g,YALI1_A09218p
YALI0A09559g,YALI1_A09325p
YALI0A09592g,YALI1_A09372p
YALI0A09614g,YALI1_A09397p
YALI0A09636g,YALI1_A09408p
YALI0A09658g,YALI1_A09422p
,YALI1_A09442p
YALI0A09680g,YALI1_A09444p
YALI0A09702g,YALI1_A09467p
YALI0A09724g,YALI1_A09522p
YALI0A09746g,YALI1_A09524p
YALI0A09768g,YALI1_A09553p
YALI0A09790g,YALI1_A09576p
YALI0A09812g,YALI1_A09593p
YALI0A09834g,YALI1_A09626p
YALI0A09845g,YALI1_A09638p
,YALI1_A09654p
YALI0A09856g,YALI1_A09694p
YALI0A09878g,YALI1_A09741p
YALI0A09900g,YALI1_A09766p
,YALI1_A09776p
,YALI1_A09787p
,YALI1_A09789p
YALI0A09922g,YALI1_A09798p
YALI0A09933g,YALI1_A09822p
YALI0A09951s,YALI1_A09835p
,YALI1_A09852p
YALI0A09988g,YALI1_A09856p
YALI0A10010g,YALI1_A09893p
YALI0A10032g,YALI1_A09911p
YALI0A10054t,YALI1_A09919t
YALI0A10076g,YALI1_A09939p
YALI0A10098g,YALI1_A09949p
YALI0A10120g,YALI1_A09996p
YALI0A10142g,YALI1_A10015p
YALI0A10164g,YALI1_A10022p
YALI0A10186g,YALI1_A10039p
YALI0A10208g,YALI1_A10072p
YALI0A10230g,YALI1_A10105p
YALI0A10252g,YALI1_A10143p
YALI0A10274g,YALI1_A10146p
YALI0A10296g,YALI1_A10199p
YALI0A10310g,YALI1_A10254p
YALI0A10318g,YALI1_A10267p
YALI0A10340r,YALI1_A10309r
YALI0A10362g,YALI1_A10318p
YALI0A10439g,YALI1_A10365p
YALI0A10461g,YALI1_A10397p
,YALI1_A10448p
YALI0A10483g,YALI1_A10468p
,YALI1_A10473p
,YALI1_A10483r
YALI0A10549g,YALI1_A10510p
YALI0A10571g,YALI1_A10529p
YALI0A10593g,YALI1_A10565p
YALI0A10615g,YALI1_A10619p
YALI0A10637g,YALI1_A10672p
YALI0A10659g,YALI1_A10708p
YALI0A10681g,YALI1_A10784p
,YALI1_A10796p
YALI0A10703g,YALI1_A10798p
YALI0A10725g,YALI1_A10827p
YALI0A10747g,YALI1_A10857p
YALI0A10769g,YALI1_A10883p
YALI0A10813g,YALI1_A10907p
YALI0A10835r,YALI1_A10921r
YALI0A10879g,YALI1_A10934p
YALI0A10890r,YALI1_A10943r
YALI0A10901g,YALI1_A10966p
,YALI1_A11010p
YALI0A10945g,YALI1_A11043p
,YALI1_A11068p
YALI0A10967g,YALI1_A11079p
YALI0A10989g,YALI1_A11114p
YALI0A11011g,YALI1_A11141p
YALI0A11022g,YALI1_A11154p
,YALI1_A11165p
YALI0A11033r,YALI1_A11178r
YALI0A11077g,YALI1_A11182p
YALI0A11099g,YALI1_A11218p
YALI0A11121g,YALI1_A11231p
YALI0A11143g,YALI1_A11258p
YALI0A11157g,YALI1_A11270p
,YALI1_A11293p
,YALI1_A11303p
YALI0A11198g,YALI1_A11341p
,YALI1_A11345p
YALI0A11220g,YALI1_A11355p
YALI0A11242r,YALI1_A11357r
YALI0A11286g,YALI1_A11377p
YALI0A11363r,YALI1_A11394r
YALI0A11407g,YALI1_A11415p
YALI0A11429r,YALI1_A11418r
YALI0A11473g,YALI1_A11439p
YALI0A11495r,YALI1_A11481r
YALI0A11517g,YALI1_A11500p
YALI0A11539g,YALI1_A11506p
YALI0A11550g,YALI1_A11557p
,YALI1_A11568p
,YALI1_A11588p
YALI0A11561g,YALI1_A11612p
,YALI1_A11622p
,YALI1_A11643p
YALI0A11605g,YALI1_A11654p
YALI0A11627g,YALI1_A11676p
YALI0A11638g,YALI1_A11698p
,YALI1_A11723p
,YALI1_A11745p
YALI0A11649g,YALI1_A11797p
,YALI1_A11821p
,YALI1_A11833p
YALI0A11671g,YALI1_A11854p
,YALI1_A11876p
YALI0A11693r,YALI1_A11880r
YALI0A11737g,YALI1_A11905p
YALI0A11759g,YALI1_A11954p
YALI0A07249g:2,YALI1_A11966t
,YALI1_A11988t
YALI0A11781g,YALI1_A12037p
YALI0A11803g,YALI1_A12067p
YALI0A11847g,YALI1_A12085p
YALI0A11869g,YALI1_A12099p
,YALI1_A12138p
YALI0A11891g,YALI1_A12152p
YALI0A11935g,YALI1_A12167p
YALI0A11957r,YALI1_A12177r
YALI0A12001g,YALI1_A12225p
YALI0A12023g,YALI1_A12245p
YALI0A12045g,YALI1_A12284p
,YALI1_A12294p
YALI0A12067g,YALI1_A12302p
YALI0A12111g,YALI1_A12356p
YALI0A12133g,YALI1_A12403p
YALI0A12155g,YALI1_A12411p
YALI0A12177g,YALI1_A12437p
YALI0A12199g,YALI1_A12445p
YALI0A12221g,YALI1_A12465p
YALI0A12243g,YALI1_A12475p
YALI0A12265g,YALI1_A12492p
YALI0A12287g,YALI1_A12502p
YALI0A12309r,YALI1_A12530r
YALI0A12353g,YALI1_A12540p
YALI0A12375r,YALI1_A12597r
YALI0A12419g,YALI1_A12601p
YALI0A12441g,YALI1_A12617p
YALI0A12452r,YALI1_A12629r
YALI0A12463r,YALI1_A12630r
YALI0A12507g,YALI1_A12638p
YALI0A12529r,YALI1_A12676r
YALI0A12573g,YALI1_A12688p
,YALI1_A12726t
YALI0A12617g,YALI1_A12729p
YALI0A12639r,YALI1_A12754r
YALI0A12683g,YALI1_A12756p
YALI0A12705g,YALI1_A12772p
YALI0A12727r,YALI1_A12812r
,YALI1_A12822p
YALI0A12771r,YALI1_A12836r
YALI0A12782r,YALI1_A12837r
YALI0A12793r,YALI1_A12846r
YALI0A12815g,YALI1_A12852p
YALI0A12837g,YALI1_A12868p
YALI0A12859r,YALI1_A12874r
YALI0A12925g,YALI1_A12929p
YALI0A12947r,YALI1_A12944r
YALI0A12969g,YALI1_A12989p
YALI0A12991r,YALI1_A12995r
YALI0A13002r,YALI1_A12996r
,YALI1_A13007p
YALI0A13013g,YALI1_A13019p
YALI0A13035g,YALI1_A13041p
YALI0A13057g,YALI1_A13046p
YALI0A13079g,YALI1_A13095p
YALI0A13101g,YALI1_A13100p
YALI0A13123r,YALI1_A13128r
,YALI1_A13131p
,YALI1_A13148p
YALI0A13189r,YALI1_A13171r
,YALI1_A13200p
,YALI1_A13224p
,YALI1_A13227p
,YALI1_A13236p
YALI0A13255g,YALI1_A13287p
,YALI1_A13330p
,YALI1_A13334p
,YALI1_A13340p
YALI0A13277g,YALI1_A13349p
YALI0A13299g,YALI1_A13383p
,YALI1_A13392p
,YALI1_A13397p
YALI0A13321g,YALI1_A13412p
YALI0A13343r,YALI1_A13432r
YALI0A13387g,YALI1_A13454p
YALI0A13409r,YALI1_A13490r
YALI0A13431r,YALI1_A13497r
YALI0A13453r,YALI1_A13498r
YALI0A13497g,YALI1_A13508p
YALI0A13519g,YALI1_A13555p
YALI0A13541g,YALI1_A13566p
,YALI1_A13591p
,YALI1_A13593p
YALI0A13563g,YALI1_A13596p
,YALI1_A13637p
YALI0A13585g,YALI1_A13649p
YALI0A13607g,YALI1_A13682p
YALI0A13629r,YALI1_A13688r
,YALI1_A13689r
,YALI1_A13693r
YALI0A13673g,YALI1_A13713p
,YALI1_A13737p
,YALI1_A13749p
,YALI1_A13775p
,YALI1_A13785p
YALI0A13717r,YALI1_A13831r
YALI0A13761r,YALI1_A13837r
YALI0A13805r,YALI1_A13841r
YALI0A13849g,YALI1_A13845p
YALI0A13871r,YALI1_A13862r
YALI0A13915g,YALI1_A13871p
YALI0A13937g,YALI1_A13877p
,YALI1_A13884r
YALI0A13959r,YALI1_A13885r
YALI0A14003r,YALI1_A13888r
,YALI1_A13903p
YALI0A14025r,YALI1_A13923r
YALI0A14069g,YALI1_A13962p
YALI0A14091r,YALI1_A13973r
YALI0A14113r,YALI1_A13982r
YALI0A14157g,YALI1_A13994p
YALI0A14168r,YALI1_A13996r
,YALI1_A14020p
YALI0A14212g,YALI1_A14024p
YALI0A14234g,YALI1_A14079p
YALI0A14256g,YALI1_A14099p
,YALI1_A14109p
YALI0A14278r,YALI1_A14118r
,YALI1_A14127p
,YALI1_A14131p
,YALI1_A14141p
,YALI1_A14150p
YALI0A14322g,YALI1_A14162p
YALI0A14344r,YALI1_A14171r
YALI0A14366g,YALI1_A14189p
YALI0A14388g,YALI1_A14199p
YALI0A14410r,YALI1_A14215r
YALI0A14454g,YALI1_A14228p
,YALI1_A14237p
YALI0A14476g,YALI1_A14259p
,YALI1_A14274p
YALI0A14498g,YALI1_A14287p
,YALI1_A14292p
YALI0A14520g,YALI1_A14305p
YALI0A14542g,YALI1_A14345p
YALI0A14564g,YALI1_A14368p
,YALI1_A14377p
YALI0A14586g,YALI1_A14390p
,YALI1_A14414p
,YALI1_A14430p
,YALI1_A14458p
,YALI1_A14483p
,YALI1_A14510p
YALI0A14608g,YALI1_A14513p
YALI0A14630g,YALI1_A14568p
YALI0A14652r,YALI1_A14586r
YALI0A14674g,YALI1_A14596p
YALI0A14707g,YALI1_A14658p
YALI0A14740g,YALI1_A14670p
,YALI1_A14691p
YALI0A14762g,YALI1_A14703p
YALI0A14784g,YALI1_A14721p
YALI0A14806g,YALI1_A14736p
,YALI1_A14772p
YALI0A14839g,YALI1_A14783p
YALI0A14861g,YALI1_A14826p
YALI0A14883g,YALI1_A14882p
YALI0A14894r,YALI1_A14905r
YALI0A14905g,YALI1_A14922p
YALI0A14927g,YALI1_A14989p
YALI0A14949g,YALI1_A14999p
YALI0A14971g,YALI1_A15017t
YALI0A14971g,YALI1_A15040t
YALI0A15026g,YALI1_A15045p
YALI0A15026g,YALI1_A15053p
YALI0A15059g,YALI1_A15073p
YALI0A15081g,YALI1_A15079p
YALI0A15103g,YALI1_A15105p
YALI0A15125g,YALI1_A15132p
,YALI1_A15172p
,YALI1_A15178p
,YALI1_A15185p
,YALI1_A15192p
YALI0A15147g,YALI1_A15227p
YALI0A15169g,YALI1_A15274p
YALI0A15191r,YALI1_A15297r
,YALI1_A15302r
YALI0A15213r,YALI1_A15303r
,YALI1_A15311p
YALI0A15257g,YALI1_A15349p
,YALI1_A15366p
,YALI1_A15373p
YALI0A15279r,YALI1_A15382r
YALI0A15323r,YALI1_A15391r
YALI0A15334r,YALI1_A15397r
YALI0A15345g,YALI1_A15414p
,YALI1_A15437p
YALI0A15378g,YALI1_A15461p
YALI0A15400g,YALI1_A15482p
YALI0A15422g,YALI1_A15497p
YALI0A15433g,YALI1_A15507p
YALI0A15444g,YALI1_A15515p
,YALI1_A15523p
YALI0A15466g,YALI1_A15528p
YALI0A15488g,YALI1_A15544p
YALI0A15510r,YALI1_A15564r
YALI0A15554g,YALI1_A15584p
YALI0A15576g,YALI1_A15624p
,YALI1_A15633p
YALI0A15598g,YALI1_A15666p
YALI0A15642g,YALI1_A15675p
YALI0A15664r,YALI1_A15682r
YALI0A15686g,YALI1_A15720p
YALI0A15708g,YALI1_A15722p
YALI0A15730r,YALI1_A15740r
YALI0A15752g,YALI1_A15766p
YALI0A15774g,YALI1_A15784p
,YALI1_A15813p
YALI0A15818r,YALI1_A15835r
YALI0A15862r,YALI1_A15843r
YALI0A15884g,YALI1_A15846p
YALI0A15928r,YALI1_A15875r
YALI0A15906g,YALI1_A15863p
YALI0A15950g,YALI1_A15879p
YALI0A15972g,YALI1_A15925p
YALI0A15994r,YALI1_A15953r
YALI0A16016g,YALI1_A15961p
YALI0A16038g,YALI1_A15978p
YALI0A16060g,YALI1_A16004p
,YALI1_A16020p
YALI0A16082g,YALI1_A16028p
,YALI1_A16031p
YALI0A16104r,YALI1_A16050r
YALI0A16126r,YALI1_A16068r
