,#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type,gotermId,gotermType,goName,goAcc
14,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
15,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
16,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
17,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
18,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
19,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
20,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
21,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
22,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
23,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
24,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
25,39,3.1.3.16,Serine/threonine specific protein phosphatase.,A phosphoprotein + H(2)O = a protein + phosphate.,\N,\N,\N,\N,\N,"[9985, 3087, 3089, 3090, 4132, 6080, 6240, 10186, 10187, 10190]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component']","['hydrolase activity', 'phosphoprotein phosphatase activity', 'calcium-dependent protein serine/threonine phosphatase activity', 'magnesium-dependent protein serine/threonine phosphatase activity', 'magnesium-dependent protein serine/threonine phosphatase complex', 'CTD phosphatase activity', 'calcium-dependent protein serine/threonine phosphatase regulator activity', 'myosin phosphatase activity', 'myosin phosphatase regulator activity', 'myosin phosphatase complex']","['GO:0016787', 'GO:0004721', 'GO:0004723', 'GO:0004724', 'GO:0005963', 'GO:0008420', 'GO:0008597', 'GO:0017018', 'GO:0017020', 'GO:0017023']"
26,40,3.6.1.5,Apyrase.,ATP + 2 H(2)O = AMP + 2 phosphate.,Calcium.,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC,"[9985, 2492, 18750]","['molecular_function', 'molecular_function', 'molecular_function']","['hydrolase activity', 'apyrase activity', 'adenosine-diphosphatase activity']","['GO:0016787', 'GO:0004050', 'GO:0043262']"
27,40,3.6.1.5,Apyrase.,ATP + 2 H(2)O = AMP + 2 phosphate.,Calcium.,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC,"[9985, 2492, 18750]","['molecular_function', 'molecular_function', 'molecular_function']","['hydrolase activity', 'apyrase activity', 'adenosine-diphosphatase activity']","['GO:0016787', 'GO:0004050', 'GO:0043262']"
28,44,,,,,,,,,"[5765, 5830]","['molecular_function', 'biological_process']","['N-acetyltransferase activity', 'metabolic process']","['GO:0008080', 'GO:0008152']"
29,46,,,,,,,,,"[9320, 12906, 21296]","['cellular_component', 'biological_process', 'molecular_function']","['membrane', 'metal ion transport', 'metal ion transmembrane transporter activity']","['GO:0016020', 'GO:0030001', 'GO:0046873']"
30,48,3.6.3.8,Calcium-transporting ATPase.,ATP + H(2)O + Ca(2+)(Cis) = ADP + phosphate + Ca(2+)(Trans).,Magnesium.,Darier disease; MIM:124200. Benign chronic pemphigus; MIM:169600.,\N,\N,\N,"[3736, 4927, 8976, 9320, 4929, 9321, 10015, 3670]","['molecular_function', 'biological_process', 'molecular_function', 'cellular_component', 'biological_process', 'cellular_component', 'molecular_function', 'molecular_function']","['ATP binding', 'transport', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'membrane', 'cation transport', 'integral to membrane', 'hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances', 'calcium-transporting ATPase activity']","['GO:0005524', 'GO:0006810', 'GO:0015662', 'GO:0016020', 'GO:0006812', 'GO:0016021', 'GO:0016820', 'GO:0005388']"
31,51,,,,,,,,,"[5830, 9985]","['biological_process', 'molecular_function']","['metabolic process', 'hydrolase activity']","['GO:0008152', 'GO:0016787']"
32,52,,,,,,,,,"[5939, 4598]","['molecular_function', 'biological_process']","['zinc ion binding', 'protein modification process']","['GO:0008270', 'GO:0006464']"
33,55,2.1.1.107,Uroporphyrin-III C-methyltransferase.,2 S-adenosyl-L-methionine + uroporphyrin III = 2 S-adenosyl-L- homocysteine + sirohydrochlorin.,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,"[5830, 5846, 4896, 3209, 11620]","['biological_process', 'molecular_function', 'biological_process', 'molecular_function', 'biological_process']","['metabolic process', 'methyltransferase activity', 'porphyrin biosynthetic process', 'uroporphyrin-III C-methyltransferase activity', 'siroheme biosynthetic process']","['GO:0008152', 'GO:0008168', 'GO:0006779', 'GO:0004851', 'GO:0019354']"
34,56,,,,,,,,,"[3387, 9320]","['molecular_function', 'cellular_component']","['scavenger receptor activity', 'membrane']","['GO:0005044', 'GO:0016020']"
35,57,,,,,,,,,"[6419, 13507, 21106]","['molecular_function', 'biological_process', 'biological_process']","['beta-lactamase activity', 'beta-lactam antibiotic catabolic process', 'response to antibiotic']","['GO:0008800', 'GO:0030655', 'GO:0046677']"
36,59,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N,"[3200, 24685, 24687, 24690, 24691]","['molecular_function', 'biological_process', 'biological_process', 'biological_process', 'biological_process']","['ubiquitin-protein ligase activity', 'regulation of ubiquitin-protein ligase activity', 'regulation of ubiquitin-protein ligase activity during meiotic cell cycle', 'positive regulation of ubiquitin-protein ligase activity', 'negative regulation of ubiquitin-protein ligase activity']","['GO:0004842', 'GO:0051438', 'GO:0051440', 'GO:0051443', 'GO:0051444']"
37,62,,,,,,,,,"[2176, 3736, 4429, 5778]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function']","['DNA binding', 'ATP binding', 'DNA replication initiation', 'DNA-dependent ATPase activity']","['GO:0003677', 'GO:0005524', 'GO:0006270', 'GO:0008094']"
38,63,,,,,,,,,"[3838, 4483]","['cellular_component', 'biological_process']","['nucleus', 'chromatin assembly or disassembly']","['GO:0005634', 'GO:0006333']"
39,68,,,,,,,,,"[2700, 18306, 18579]","['molecular_function', 'molecular_function', 'biological_process']","['subtilase activity', 'identical protein binding', 'negative regulation of catalytic activity']","['GO:0004289', 'GO:0042802', 'GO:0043086']"
