#proteinId	gotermId	goName	gotermType	goAcc
5	3028	porphobilinogen synthase activity	molecular_function	GO:0004655
48	4927	transport	biological_process	GO:0006810
48	8976	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
48	9320	membrane	cellular_component	GO:0016020
48	4929	cation transport	biological_process	GO:0006812
48	9321	integral to membrane	cellular_component	GO:0016021
48	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
48	3670	calcium-transporting ATPase activity	molecular_function	GO:0005388
51	5830	metabolic process	biological_process	GO:0008152
51	9985	hydrolase activity	molecular_function	GO:0016787
52	5939	zinc ion binding	molecular_function	GO:0008270
52	4598	protein modification process	biological_process	GO:0006464
55	5830	metabolic process	biological_process	GO:0008152
55	5846	methyltransferase activity	molecular_function	GO:0008168
55	4896	porphyrin biosynthetic process	biological_process	GO:0006779
55	3209	uroporphyrin-III C-methyltransferase activity	molecular_function	GO:0004851
55	11620	siroheme biosynthetic process	biological_process	GO:0019354
56	3387	scavenger receptor activity	molecular_function	GO:0005044
56	9320	membrane	cellular_component	GO:0016020
57	6419	beta-lactamase activity	molecular_function	GO:0008800
57	13507	beta-lactam antibiotic catabolic process	biological_process	GO:0030655
57	21106	response to antibiotic	biological_process	GO:0046677
59	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
59	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
59	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
59	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
59	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
62	2176	DNA binding	molecular_function	GO:0003677
62	3736	ATP binding	molecular_function	GO:0005524
62	4429	DNA replication initiation	biological_process	GO:0006270
62	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
63	3838	nucleus	cellular_component	GO:0005634
63	4483	chromatin assembly or disassembly	biological_process	GO:0006333
68	2700	subtilase activity	molecular_function	GO:0004289
68	18306	identical protein binding	molecular_function	GO:0042802
68	18579	negative regulation of catalytic activity	biological_process	GO:0043086
71	7744	FMN binding	molecular_function	GO:0010181
71	9710	oxidoreductase activity	molecular_function	GO:0016491
71	2412	NADPH dehydrogenase activity	molecular_function	GO:0003959
73	3727	protein binding	molecular_function	GO:0005515
75	4591	protein folding	biological_process	GO:0006457
75	9551	prefoldin complex	cellular_component	GO:0016272
75	24336	unfolded protein binding	molecular_function	GO:0051082
76	162	nucleotide binding	molecular_function	GO:0000166
76	3736	ATP binding	molecular_function	GO:0005524
76	3930	cytoplasm	cellular_component	GO:0005737
76	5721	tRNA processing	biological_process	GO:0008033
76	10074	ligase activity, forming carbon-nitrogen bonds	molecular_function	GO:0016879
81	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
81	4143	carbohydrate metabolic process	biological_process	GO:0005975
81	2946	chitinase activity	molecular_function	GO:0004568
81	6462	endochitinase activity	molecular_function	GO:0008843
82	5939	zinc ion binding	molecular_function	GO:0008270
84	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
84	6276	carbohydrate transport	biological_process	GO:0008643
84	9320	membrane	cellular_component	GO:0016020
84	3546	transporter activity	molecular_function	GO:0005215
84	4927	transport	biological_process	GO:0006810
84	9321	integral to membrane	cellular_component	GO:0016021
86	2632	pepsin A activity	molecular_function	GO:0004194
86	4639	proteolysis	biological_process	GO:0006508
86	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
88	5830	metabolic process	biological_process	GO:0008152
88	9710	oxidoreductase activity	molecular_function	GO:0016491
88	247	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
88	248	3-keto sterol reductase activity	molecular_function	GO:0000253
88	2477	aldo-keto reductase activity	molecular_function	GO:0004033
88	2842	isocitrate dehydrogenase activity	molecular_function	GO:0004448
88	2886	mevaldate reductase activity	molecular_function	GO:0004495
88	6491	gluconate dehydrogenase activity	molecular_function	GO:0008875
88	9508	steroid dehydrogenase activity	molecular_function	GO:0016229
88	10761	epoxide dehydrogenase activity	molecular_function	GO:0018451
88	10762	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
88	10763	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
88	15277	phenylcoumaran benzylic ether reductase activity	molecular_function	GO:0032442
88	16590	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0033764
88	16591	steroid dehydrogenase activity, acting on the CH-CH group of donors	molecular_function	GO:0033765
88	19178	(R)-2-hydroxyisocaproate dehydrogenase activity	molecular_function	GO:0043713
88	22621	3-ketoglucose-reductase activity	molecular_function	GO:0048258
88	25233	(R)-2-hydroxyglutarate dehydrogenase activity	molecular_function	GO:0051990
89	162	nucleotide binding	molecular_function	GO:0000166
89	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
89	3736	ATP binding	molecular_function	GO:0005524
89	2176	DNA binding	molecular_function	GO:0003677
89	3838	nucleus	cellular_component	GO:0005634
89	4421	DNA replication	biological_process	GO:0006260
89	2187	DNA clamp loader activity	molecular_function	GO:0003689
89	3862	DNA replication factor C complex	cellular_component	GO:0005663
94	2916	ribonuclease P activity	molecular_function	GO:0004526
95	4642	ubiquitin-dependent protein catabolic process	biological_process	GO:0006511
95	14302	cullin-RING ubiquitin ligase complex	cellular_component	GO:0031461
95	14466	ubiquitin protein ligase binding	molecular_function	GO:0031625
96	3827	intracellular	cellular_component	GO:0005622
96	5250	signal transduction	biological_process	GO:0007165
100	5830	metabolic process	biological_process	GO:0008152
100	9977	nucleotidyltransferase activity	molecular_function	GO:0016779
100	2431	UTP:glucose-1-phosphate uridylyltransferase activity	molecular_function	GO:0003983
103	5876	steroid metabolic process	biological_process	GO:0008202
105	2175	nucleic acid binding	molecular_function	GO:0003676
105	2914	ribonuclease H activity	molecular_function	GO:0004523
107	9971	phosphotransferase activity, alcohol group as acceptor	molecular_function	GO:0016773
109	3727	protein binding	molecular_function	GO:0005515
112	2594	dihydropteroate synthase activity	molecular_function	GO:0004156
112	6988	folic acid and derivative biosynthetic process	biological_process	GO:0009396
112	2314	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	molecular_function	GO:0003848
112	2588	dihydroneopterin aldolase activity	molecular_function	GO:0004150
112	4882	folic acid and derivative metabolic process	biological_process	GO:0006760
112	19375	cellular metabolic process	biological_process	GO:0044237
115	4639	proteolysis	biological_process	GO:0006508
115	5909	metallopeptidase activity	molecular_function	GO:0008237
115	5830	metabolic process	biological_process	GO:0008152
115	10008	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	molecular_function	GO:0016813
115	9985	hydrolase activity	molecular_function	GO:0016787
115	21401	protein dimerization activity	molecular_function	GO:0046983
118	5830	metabolic process	biological_process	GO:0008152
118	5846	methyltransferase activity	molecular_function	GO:0008168
120	3736	ATP binding	molecular_function	GO:0005524
120	5830	metabolic process	biological_process	GO:0008152
120	9573	kinase activity	molecular_function	GO:0016301
120	6503	glycerate kinase activity	molecular_function	GO:0008887
123	4598	protein modification process	biological_process	GO:0006464
125	4283	electron transport	biological_process	GO:0006118
125	5803	ubiquinol-cytochrome-c reductase activity	molecular_function	GO:0008121
126	3827	intracellular	cellular_component	GO:0005622
126	19030	sequence-specific DNA binding	molecular_function	GO:0043565
126	2176	DNA binding	molecular_function	GO:0003677
126	2353	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
126	16887	DNA polymerase activity	molecular_function	GO:0034061
127	3572	voltage-gated chloride channel activity	molecular_function	GO:0005247
127	4937	chloride transport	biological_process	GO:0006821
127	9320	membrane	cellular_component	GO:0016020
127	3547	ion channel activity	molecular_function	GO:0005216
128	2175	nucleic acid binding	molecular_function	GO:0003676
129	2227	structural constituent of ribosome	molecular_function	GO:0003735
129	4556	translation	biological_process	GO:0006412
129	9241	small ribosomal subunit	cellular_component	GO:0015935
129	3827	intracellular	cellular_component	GO:0005622
129	4025	ribosome	cellular_component	GO:0005840
130	4037	cytoskeleton	cellular_component	GO:0005856
130	13683	regulation of actin filament polymerization	biological_process	GO:0030833
133	9321	integral to membrane	cellular_component	GO:0016021
133	9480	vesicle-mediated transport	biological_process	GO:0016192
135	4977	amino acid transport	biological_process	GO:0006865
135	8535	amino acid transmembrane transporter activity	molecular_function	GO:0015171
135	9320	membrane	cellular_component	GO:0016020
137	3727	protein binding	molecular_function	GO:0005515
140	9985	hydrolase activity	molecular_function	GO:0016787
140	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
140	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
140	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
140	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
140	6080	CTD phosphatase activity	molecular_function	GO:0008420
140	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
140	10186	myosin phosphatase activity	molecular_function	GO:0017018
140	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
140	10190	myosin phosphatase complex	cellular_component	GO:0017023
143	3727	protein binding	molecular_function	GO:0005515
143	5239	cell communication	biological_process	GO:0007154
143	17271	phosphoinositide binding	molecular_function	GO:0035091
144	2175	nucleic acid binding	molecular_function	GO:0003676
146	3930	cytoplasm	cellular_component	GO:0005737
146	4994	intracellular protein transport	biological_process	GO:0006886
147	4642	ubiquitin-dependent protein catabolic process	biological_process	GO:0006511
147	3727	protein binding	molecular_function	GO:0005515
155	2175	nucleic acid binding	molecular_function	GO:0003676
155	5939	zinc ion binding	molecular_function	GO:0008270
156	2175	nucleic acid binding	molecular_function	GO:0003676
158	2378	GTPase activity	molecular_function	GO:0003924
158	3737	GTP binding	molecular_function	GO:0005525
158	10375	histone-lysine N-methyltransferase activity	molecular_function	GO:0018024
160	2802	histone acetyltransferase activity	molecular_function	GO:0004402
161	3846	nuclear pore	cellular_component	GO:0005643
161	5019	nucleocytoplasmic transport	biological_process	GO:0006913
161	23917	RNA transport	biological_process	GO:0050658
164	162	nucleotide binding	molecular_function	GO:0000166
164	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
167	3727	protein binding	molecular_function	GO:0005515
173	4925	regulation of nitrogen utilization	biological_process	GO:0006808
173	9773	transcription repressor activity	molecular_function	GO:0016564
175	3737	GTP binding	molecular_function	GO:0005525
175	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
175	2378	GTPase activity	molecular_function	GO:0003924
175	3727	protein binding	molecular_function	GO:0005515
175	4994	intracellular protein transport	biological_process	GO:0006886
175	5019	nucleocytoplasmic transport	biological_process	GO:0006913
175	5250	signal transduction	biological_process	GO:0007165
175	3827	intracellular	cellular_component	GO:0005622
175	8400	protein transport	biological_process	GO:0015031
179	2175	nucleic acid binding	molecular_function	GO:0003676
185	9985	hydrolase activity	molecular_function	GO:0016787
185	6142	diphosphoinositol-polyphosphate diphosphatase activity	molecular_function	GO:0008486
186	3043	protein kinase activity	molecular_function	GO:0004672
186	3736	ATP binding	molecular_function	GO:0005524
186	4602	protein amino acid phosphorylation	biological_process	GO:0006468
186	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
186	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
186	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
186	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
186	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
186	3050	casein kinase activity	molecular_function	GO:0004680
186	3051	casein kinase I activity	molecular_function	GO:0004681
186	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
186	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
186	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
186	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
186	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
186	3067	atypical protein kinase C activity	molecular_function	GO:0004700
186	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
186	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
186	3071	JUN kinase activity	molecular_function	GO:0004705
186	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
186	3074	MAP kinase kinase activity	molecular_function	GO:0004708
186	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
186	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
186	3084	Janus kinase activity	molecular_function	GO:0004718
186	6004	MAP kinase 1 activity	molecular_function	GO:0008338
186	6005	MP kinase activity	molecular_function	GO:0008339
186	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
186	6196	JUN kinase kinase activity	molecular_function	GO:0008545
186	10102	MAP kinase 2 activity	molecular_function	GO:0016908
186	10103	SAP kinase activity	molecular_function	GO:0016909
186	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
186	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
186	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
190	222	microtubule cytoskeleton organization and biogenesis	biological_process	GO:0000226
190	663	spindle pole	cellular_component	GO:0000922
190	4002	microtubule organizing center	cellular_component	GO:0005815
191	3727	protein binding	molecular_function	GO:0005515
196	9320	membrane	cellular_component	GO:0016020
197	2175	nucleic acid binding	molecular_function	GO:0003676
197	3736	ATP binding	molecular_function	GO:0005524
197	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
197	2792	helicase activity	molecular_function	GO:0004386
198	9367	mRNA metabolic process	biological_process	GO:0016071
198	13392	ribonucleoprotein complex	cellular_component	GO:0030529
199	3930	cytoplasm	cellular_component	GO:0005737
199	4758	lipid metabolic process	biological_process	GO:0006629
199	9321	integral to membrane	cellular_component	GO:0016021
199	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
200	3727	protein binding	molecular_function	GO:0005515
205	2909	nuclease activity	molecular_function	GO:0004518
205	18089	phosphoric ester hydrolase activity	molecular_function	GO:0042578
205	19229	T/G mismatch-specific endonuclease activity	molecular_function	GO:0043765
208	3043	protein kinase activity	molecular_function	GO:0004672
208	3736	ATP binding	molecular_function	GO:0005524
208	4602	protein amino acid phosphorylation	biological_process	GO:0006468
208	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
208	3075	MAP kinase kinase kinase activity	molecular_function	GO:0004709
211	9985	hydrolase activity	molecular_function	GO:0016787
211	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
211	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
211	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
211	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
211	6080	CTD phosphatase activity	molecular_function	GO:0008420
211	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
211	10186	myosin phosphatase activity	molecular_function	GO:0017018
211	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
211	10190	myosin phosphatase complex	cellular_component	GO:0017023
212	6667	biosynthetic process	biological_process	GO:0009058
212	2491	anthranilate synthase activity	molecular_function	GO:0004049
212	5830	metabolic process	biological_process	GO:0008152
212	10028	oxo-acid-lyase activity	molecular_function	GO:0016833
213	3827	intracellular	cellular_component	GO:0005622
213	19030	sequence-specific DNA binding	molecular_function	GO:0043565
213	2176	DNA binding	molecular_function	GO:0003677
213	2353	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
213	16887	DNA polymerase activity	molecular_function	GO:0034061
214	9367	mRNA metabolic process	biological_process	GO:0016071
214	13392	ribonucleoprotein complex	cellular_component	GO:0030529
215	3727	protein binding	molecular_function	GO:0005515
215	2290	catalytic activity	molecular_function	GO:0003824
216	4541	RNA processing	biological_process	GO:0006396
216	10081	ligase activity, forming phosphoric ester bonds	molecular_function	GO:0016886
216	2290	catalytic activity	molecular_function	GO:0003824
216	2416	RNA-3'-phosphate cyclase activity	molecular_function	GO:0003963
233	2176	DNA binding	molecular_function	GO:0003677
233	8441	DNA integration	biological_process	GO:0015074
233	2175	nucleic acid binding	molecular_function	GO:0003676
235	587	nucleosome	cellular_component	GO:0000786
235	2176	DNA binding	molecular_function	GO:0003677
235	3838	nucleus	cellular_component	GO:0005634
235	4484	nucleosome assembly	biological_process	GO:0006334
236	3727	protein binding	molecular_function	GO:0005515
237	3727	protein binding	molecular_function	GO:0005515
238	2700	subtilase activity	molecular_function	GO:0004289
238	4639	proteolysis	biological_process	GO:0006508
238	18306	identical protein binding	molecular_function	GO:0042802
238	18579	negative regulation of catalytic activity	biological_process	GO:0043086
238	2687	cerevisin activity	molecular_function	GO:0004262
242	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
242	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
242	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
242	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
242	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
243	2227	structural constituent of ribosome	molecular_function	GO:0003735
243	3827	intracellular	cellular_component	GO:0005622
243	4025	ribosome	cellular_component	GO:0005840
243	4556	translation	biological_process	GO:0006412
244	2175	nucleic acid binding	molecular_function	GO:0003676
244	2914	ribonuclease H activity	molecular_function	GO:0004523
244	281	magnesium ion binding	molecular_function	GO:0000287
249	2783	glycolipid 2-alpha-mannosyltransferase activity	molecular_function	GO:0004377
249	4618	protein amino acid glycosylation	biological_process	GO:0006486
249	9320	membrane	cellular_component	GO:0016020
249	24	alpha-1,6-mannosyltransferase activity	molecular_function	GO:0000009
249	42	alpha-1,2-mannosyltransferase activity	molecular_function	GO:0000026
249	45	mannosyltransferase activity	molecular_function	GO:0000030
249	48	alpha-1,3-mannosyltransferase activity	molecular_function	GO:0000033
249	1170	alpha-1,3-galactosyltransferase activity	molecular_function	GO:0001962
249	2430	UDP-glucose:glycoprotein glucosyltransferase activity	molecular_function	GO:0003980
249	2782	glycolipid mannosyltransferase activity	molecular_function	GO:0004376
249	2953	oligosaccharyl transferase activity	molecular_function	GO:0004576
249	2959	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	molecular_function	GO:0004583
249	6039	acetylglucosaminyltransferase activity	molecular_function	GO:0008375
249	6040	acetylgalactosaminyltransferase activity	molecular_function	GO:0008376
249	6042	galactosyltransferase activity	molecular_function	GO:0008378
249	6077	fucosyltransferase activity	molecular_function	GO:0008417
249	6376	O antigen polymerase activity	molecular_function	GO:0008755
249	6535	lipopolysaccharide-1,6-galactosyltransferase activity	molecular_function	GO:0008921
249	9532	UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	molecular_function	GO:0016253
249	9958	cellulose synthase activity	molecular_function	GO:0016759
249	11017	9-phenanthrol UDP-glucuronosyltransferase activity	molecular_function	GO:0018715
249	11018	1-phenanthrol glycosyltransferase activity	molecular_function	GO:0018716
249	11019	9-phenanthrol glycosyltransferase activity	molecular_function	GO:0018717
249	11020	1,2-dihydroxy-phenanthrene glycosyltransferase activity	molecular_function	GO:0018718
249	11396	phenanthrol glycosyltransferase activity	molecular_function	GO:0019112
249	11466	beta-1,4-mannosyltransferase activity	molecular_function	GO:0019187
249	14119	alpha-1,2-galactosyltransferase activity	molecular_function	GO:0031278
249	16390	dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0033556
249	17801	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042281
249	17803	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042283
249	19616	inositol phosphoceramide synthase activity	molecular_function	GO:0045140
249	20962	glucosyltransferase activity	molecular_function	GO:0046527
249	21342	alpha(1,3)-fucosyltransferase activity	molecular_function	GO:0046920
249	21343	alpha(1,6)-fucosyltransferase activity	molecular_function	GO:0046921
252	3736	ATP binding	molecular_function	GO:0005524
252	10082	ATPase activity	molecular_function	GO:0016887
252	162	nucleotide binding	molecular_function	GO:0000166
252	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
252	4927	transport	biological_process	GO:0006810
252	9321	integral to membrane	cellular_component	GO:0016021
252	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
255	3228	signal transducer activity	molecular_function	GO:0004871
255	4019	heterotrimeric G-protein complex	cellular_component	GO:0005834
255	5270	G-protein coupled receptor protein signaling pathway	biological_process	GO:0007186
257	2770	glutathione transferase activity	molecular_function	GO:0004364
258	3949	mitochondrial matrix	cellular_component	GO:0005759
259	5830	metabolic process	biological_process	GO:0008152
259	9710	oxidoreductase activity	molecular_function	GO:0016491
269	4283	electron transport	biological_process	GO:0006118
269	9710	oxidoreductase activity	molecular_function	GO:0016491
274	3934	mitochondrial outer membrane translocase complex	cellular_component	GO:0005742
274	4734	protein targeting	biological_process	GO:0006605
274	4994	intracellular protein transport	biological_process	GO:0006886
281	16729	endo-1,3(4)-beta-glucanase activity	molecular_function	GO:0033903
282	3430	Rho GDP-dissociation inhibitor activity	molecular_function	GO:0005094
282	3930	cytoplasm	cellular_component	GO:0005737
283	3727	protein binding	molecular_function	GO:0005515
283	10973	cyclohexanone monooxygenase activity	molecular_function	GO:0018667
284	3052	protein kinase CK2 activity	molecular_function	GO:0004682
286	4977	amino acid transport	biological_process	GO:0006865
286	8535	amino acid transmembrane transporter activity	molecular_function	GO:0015171
286	9320	membrane	cellular_component	GO:0016020
286	9321	integral to membrane	cellular_component	GO:0016021
295	2290	catalytic activity	molecular_function	GO:0003824
295	5830	metabolic process	biological_process	GO:0008152
295	243	C-8 sterol isomerase activity	molecular_function	GO:0000247
295	6076	delta5-delta2,4-dienoyl-CoA isomerase activity	molecular_function	GO:0008416
295	11137	3-carboxymuconate cycloisomerase type II activity	molecular_function	GO:0018842
295	19296	trans-2, cis-3 decenoyl-ACP isomerase activity	molecular_function	GO:0043832
305	2175	nucleic acid binding	molecular_function	GO:0003676
305	5939	zinc ion binding	molecular_function	GO:0008270
309	2553	3',5'-cyclic-nucleotide phosphodiesterase activity	molecular_function	GO:0004114
309	5250	signal transduction	biological_process	GO:0007165
309	2290	catalytic activity	molecular_function	GO:0003824
309	24589	regulation of cyclic-nucleotide phosphodiesterase activity	biological_process	GO:0051342
314	9985	hydrolase activity	molecular_function	GO:0016787
314	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
314	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
314	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
314	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
314	6080	CTD phosphatase activity	molecular_function	GO:0008420
314	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
314	10186	myosin phosphatase activity	molecular_function	GO:0017018
314	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
314	10190	myosin phosphatase complex	cellular_component	GO:0017023
317	3708	binding	molecular_function	GO:0005488
317	11417	deoxyhypusine monooxygenase activity	molecular_function	GO:0019135
318	2175	nucleic acid binding	molecular_function	GO:0003676
318	5939	zinc ion binding	molecular_function	GO:0008270
318	13391	transcription regulator activity	molecular_function	GO:0030528
318	19908	regulation of transcription	biological_process	GO:0045449
318	2176	DNA binding	molecular_function	GO:0003677
318	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
318	4499	transcription	biological_process	GO:0006350
